bodytemp
95.6
97.32
97.96
96.98
96.02
98.6
96.54
98.28
97.72
97.9
98.83
96.72
97.52
98.15
96.64
98.86
99.23
97.68
95.75
98.17
98.59
96.32
98.23
95.59
98
98.12
98.26
96.81
97.69
96.86
97.31
97.11
96.08
97.61
97.93
95.57
96.92
98.44
98.34
96.27
96.56
97.82
98.02
99.31
98.75
97.34
96.81
97.96
98.02
98.33
98.54
98.53
97.42
97.93
96.72
97.12
98.4
98.34
96.58
99
97.64
99.09
97.15
95.04
98.05
98.02
96.94
99.25
97.19
98.12
96.75
96.42
97.33
97.35
98.09
97.75
98.16
97.16
98.13
96.77
97.77
98.55
97.48
96.9
96.84
99.11
96.83
97.9
98.04
98.01
96.3
98.2
96.92
97.97
98.47
96.28
99.06
99.38
98.84
97.19
99.46
97.44
98.51
98.01
97.57
96.95
97.74
96.99
97.68
96.69
97.32
97.29
99.28
97.76
98.38
98.15
96.62
98.33
98.34
95.69
99.32
96.77
95.75
97.55
95.79
100.37
98.79
97.59
98.23
98.25
96.52
97.94
97.5
96.82
97.64
97.97
97.65
98.46
97.25
99.39
98.19
98.8
98.48
97.45
98.49
98.44
97.49
99.92
98.01
97.39
95.89
99.3
98.87
97.97
98.81
96.28
97.57
97.87
97.47
98.1
97.75
97.14
97.77
96.08
96.73
97.58
97.91
98.67
95.67
96.84
98.43
96.9
96.7
96.96
97
97.43
98.65
97.62
97.4
98.3
97.92
95.97
98.02
95.66
98.61
97.58
95.88
97.18
96.27
97.68
100.4
99.18
97.85
98.31
98.1
97.66
98.94
99.48
98.23
99.49
98.65
96.63
98.67
97.49
99.45
97.05
97.24
99.46
